marker_id,focus,corner_x,corner_y,corner_x_norm,corner_y_norm
5,2.0,2846.8416,1111.8131,0.16169749,-0.05486418
5,3.0,2853.4531,1108.437,0.16366689,-0.055869825
5,4.0,2857.5068,1107.6133,0.16487437,-0.056115195
5,5.0,2862.8198,1105.8083,0.16645697,-0.056652833
5,6.0,2866.3965,1105.0803,0.16752236,-0.056869693
5,7.0,2868.491,1106.0021,0.16814625,-0.056595128
5,8.0,2870.3066,1107.9076,0.16868709,-0.056027528
5,9.0,2872.2031,1109.9912,0.169252,-0.055406872
5,10.0,2881.4954,1101.7201,0.1720199,-0.05787061
6,0.5,2863.681,1502.7743,0.16671346,0.061592344
6,1.0,2867.2593,1504.826,0.16777936,0.062203504
6,2.0,2868.436,1502.2585,0.16812989,0.061438717
6,3.0,2871.5112,1503.8602,0.1690459,0.061915815
6,4.0,2880.1777,1508.4825,0.17162742,0.063292675
6,5.0,2885.9841,1510.8469,0.17335698,0.063996956
6,6.0,2890.0027,1512.3672,0.17455399,0.0644498
6,7.0,2892.143,1511.5742,0.17519155,0.0642136
6,8.0,2894.8452,1509.9047,0.17599645,0.063716285
6,9.0,2896.4417,1508.9124,0.17647198,0.0634207
6,10.0,2909.329,1521.5134,0.1803108,0.06717421
7,2.0,2900.3223,1926.6075,0.1776279,0.18784055
7,3.0,2904.4614,1925.6423,0.17886086,0.18755303
7,4.0,2906.5854,1934.796,0.17949355,0.19027966
7,5.0,2911.7158,1941.1573,0.18102174,0.19217452
7,6.0,2915.8281,1945.7147,0.18224667,0.19353205
7,7.0,2921.826,1947.5168,0.18403326,0.19406885
7,8.0,2928.266,1946.1855,0.1859516,0.1936723
7,9.0,2939.719,1962.6917,0.1893631,0.198589
7,10.0,2939.8054,1970.5984,0.18938886,0.2009442
8,0.5,2435.7766,752.72736,0.03925261,-0.1618259
8,1.0,2435.988,750.2086,0.039315585,-0.16257615
8,2.0,2438.942,745.7422,0.040195458,-0.16390659
8,3.0,2435.8887,745.8677,0.039285988,-0.1638692
8,4.0,2438.27,738.84204,0.039995324,-0.16596195
8,5.0,2439.4128,733.542,0.04033574,-0.16754068
8,6.0,2439.968,730.2562,0.04050111,-0.16851942
8,7.0,2438.845,729.3152,0.040166587,-0.16879973
8,8.0,2436.3057,727.37415,0.0394102,-0.16937792
8,9.0,2434.7156,721.1662,0.038936555,-0.1712271
9,0.5,2444.3403,1119.113,0.041803505,-0.052689735
9,1.0,2444.2979,1117.4785,0.04179085,-0.05317661
9,2.0,2444.7998,1114.0693,0.04194037,-0.054192115
9,3.0,2448.0903,1115.712,0.042920526,-0.053702798
9,4.0,2448.9116,1114.5138,0.043165166,-0.05405972
9,5.0,2449.7385,1112.548,0.043411475,-0.054645285
9,6.0,2450.708,1111.3427,0.04370026,-0.055004317
9,7.0,2454.059,1112.1946,0.04469845,-0.05475055
