img,kamera,pfad,t1,t2,t3,r1,r2,r3
35,11,../../bilderserien/wuerfel8/camera12.jpg,0.3587863010357566,-2.524429623599775,32.64748428779806,1.4804146507883569,1.4766885305182926,-1.0096732905995467
36,12,../../bilderserien/wuerfel8/camera13.jpg,0.5866150005682669,36.59596328425316,58.06930889322116,0.927716207037652,2.2528146612869175,-1.3001679616792547
37,13,../../bilderserien/wuerfel8/camera14.jpg,-1.6429174393671877,21.594617969744426,40.954695061053094,0.8583371929582916,2.0422566481552056,-1.4760877740449743
38,14,../../bilderserien/wuerfel8/camera15.jpg,-0.8449366857283952,9.051334084194815,31.94153776270188,0.7441885349160611,1.763566335740916,-1.722872393432194
39,15,../../bilderserien/wuerfel8/camera16.jpg,0.967885235969611,30.215861470241926,54.15334686950615,0.05624329815221173,-2.704843378217661,1.5783995497933057
40,16,../../bilderserien/wuerfel8/camera17.jpg,0.7464256313949351,9.1227750814794,42.45847886840622,0.04432146595076232,-2.6991268851080275,1.6021926775958173
41,17,../../bilderserien/wuerfel8/camera18.jpg,-0.7017058267532508,10.68972429273347,32.28648411433547,-0.0494923388738484,2.211824371926875,-2.183927526696858
42,18,../../bilderserien/wuerfel8/camera19.jpg,-0.8702671392079803,37.03164940198019,54.73212342546542,0.9141938277697279,-2.2056622527912193,1.377174300371593
43,19,../../bilderserien/wuerfel8/camera20.jpg,-0.16672574040633448,36.85684774876277,31.867913399860605,0.7067566513152106,-1.737965169721353,1.7966333686893357
44,20,../../bilderserien/wuerfel8/camera21.jpg,-0.35323236142202774,12.902546976999304,32.00239329019001,0.7130377968727151,-1.6892379720936086,1.8429588534757724
45,21,../../bilderserien/wuerfel8/camera22.jpg,1.716459037577625,20.47823055089433,69.8368712427929,1.7882492086342094,-1.7591073591633317,0.6790357974737153
46,22,../../bilderserien/wuerfel8/camera23.jpg,-1.65657540908121,25.228736705682728,53.62845832242399,1.5758730879651917,-1.608087174107321,0.9622899403101871
47,23,../../bilderserien/wuerfel8/camera24.jpg,2.238359759272509,14.986191326895396,40.34810568532488,1.4393371475218142,-1.4332745138135419,1.0120038832620357
