marker,ecke,x,y,z
19,0,-6.076680507751146,-36.00907821789999,31.78362755655777
19,1,-2.7218839214967985,-36.05197001407486,31.76549758052404
19,2,-2.701129830275797,-35.7334004806751,35.11010993973495
19,3,-6.059053504544081,-35.6912828572867,35.13602600876678
22,0,35.84525203660789,-5.200555547363444,33.00159199578758
22,1,35.84796065729958,-1.8822755631877088,32.98276180970967
22,2,35.064106413139065,-1.8340830268944948,36.239289411067574
22,3,35.06527945809912,-5.151424158523968,36.266860530074545
25,0,3.2255665051293883,5.931774357584999,-0.17963945149874555
25,1,-3.8277632629022538,5.988743195531278,-0.12498084614858201
25,2,-3.820414640334782,13.08098672784351,-0.12043446084609166
25,3,3.2821290876582006,13.030164601404982,-0.15267886946576706
13,0,-10.426302635580111,36.89797863987592,5.772633140737541
13,1,-10.456364251667445,36.851922125321785,2.4680026390112886
13,2,-13.676689228196716,35.973785894283466,2.5417725109515104
13,3,-13.644625543531923,36.01571900206838,5.8151845171810095
14,0,-33.02870238828796,19.633460363235397,5.926819626405564
14,1,-33.04389027896949,19.59670533116639,2.61378369126386
14,2,-34.825527781848315,16.778683594560366,2.644569452929157
14,3,-34.819190310486306,16.80306230603322,5.963797681700675
16,0,20.585600435390994,-29.201007902445916,16.973647589595814
16,1,22.96556053489111,-26.882695871853997,16.999201933013516
16,2,23.04744783098685,-27.004490183257367,20.35975826856429
16,3,20.662615326994818,-29.327042696466226,20.329536358778366
18,0,4.922978123335621,36.687887570842,40.11581480571629
18,1,1.5851368585683177,36.6849818802136,40.11134700180759
18,2,1.5953720111064256,36.22902549437679,43.43515415861715
18,3,4.949124058714557,36.22235518422846,43.43918791139009
17,0,-37.0197626537442,6.108815333740607,41.64827192724463
17,1,-37.10044908798917,2.767808604647253,41.63191918802791
17,2,-36.7911289495147,2.736726092529836,44.98294260200555
17,3,-36.728359123869865,6.0744778065002,45.007864223846454
21,0,29.091786430087073,22.138694450855812,44.14373067020264
21,1,26.751722523649455,24.544523677468636,44.17354369995803
21,2,26.407984109076093,24.168906258092772,47.503950919196534
21,3,28.76660161584248,21.786313531097644,47.478740744708524
23,0,-22.46827362873445,30.250156817059118,47.26109442926519
23,1,-24.93246639719449,27.948821064617736,47.23830901192571
23,2,-24.762967898436656,27.7279807269092,50.61905201669263
23,3,-22.29737544303683,30.047209883524054,50.65445408650471
20,0,20.900035412328705,-29.31921009397008,44.277706944043665
20,1,23.28260400422825,-26.99244045308854,44.263108370177825
20,2,22.99828391417898,-26.68105733676019,47.58787351934719
20,3,20.63529407652642,-29.02433049426405,47.60022538509014
